Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-37-A5EN-01A-21R-A26W-07	0.150969171494553	0	0.0730583651095921	0.149209931872368	0	0.100782818334777	0.0229633334251599	0.0640564145840421	0.0398900231194887	0	0	0.0111032195444193	0	0.175455479574008	0.0910429484316832	0.0872799744138351	0.0156023194507413	0	0.0185860006453324	0	0	0	0.011	0.293446663847348	0.966974764960694
TCGA-52-7809-01A-21R-2125-07	0.082986208646702	0	0.0522295391479733	0.185263713065465	0	0.131258265930052	0	0.143357071173657	0	0	0	0.033449976045247	0.00499258406402701	0.061342487614246	0.102007714138074	0.10661494112817	0.0219099983875526	0.00181974413041586	0.0410074538499109	0	0.0271071982964601	0.00465310438204646	0.032	0.173704305129955	1.02012530272688
TCGA-NC-A5HK-01A-11R-A26W-07	0.152406221603736	0	0.0735197900823834	0.153693136093144	0	0.0134938378889484	0	0.0980756046009547	0.0444561832562148	0	0	0.0930457510987246	0.00612041055900801	0.0217826149908345	0.0333715697243627	0.0473278995834354	0	0.238099259202318	0.0176657586906853	0	0	0.00694196262524983	0.014	0.257652281320724	0.991890594851856
TCGA-60-2703-01A-11R-2045-07	0.103262929769635	0	0.0744350984679792	0.0787990308999837	0	0.249206499561028	0	0	0.00736015322761459	0	0.0735448075660675	0	0	0.226805378364243	0.0117423713614253	0	0	0.0250888454734837	0	0.122092873065857	0.0066797681210227	0.0209822441216613	0.022	0.212787879089994	1.00472608012841
TCGA-60-2698-01A-01R-0851-07	0.0527863194205452	0	0.0110230374242439	0.156265413742526	0	0.170468659029529	0.0177221157646944	0.0562818613289971	0.0197701765185735	0	0.0152756031761223	0.00755687339429123	0.0330143891318902	0.0888729185133102	0.0456080838049007	0.168968279243732	0.0480143418725821	0.0212372869821403	0.0464850177689934	0	0.0186463653696062	0.022003257513323	0.089	0.0985418802554626	1.03956520109987
TCGA-56-A4BY-01A-11R-A24H-07	0.242220530260985	0	0.142128860454241	0.10082450686414	0	0.0493707633579952	0.0377850037567603	0.0483836223104328	0.029598583734566	0	0.0458830208660486	0	0.00884912947423497	0.0597296745938641	0.0890560736696944	0.0623184470259463	0.0217999318117596	0.00476289875433511	0.0572889530649965	0	0	0	0.001	0.436025213722953	0.900902316384536
TCGA-56-1622-01A-01R-0692-07	0.083048893637895	0	0.0656175654028353	0.0344050823813215	0	0.143891555514667	0.00072053942726216	0.0293289375202327	0	0	0.0402104345862455	0	0	0.0848930394689266	0.0221023419824346	0.0690911892583655	0	0.0805328453041945	0	0.31721293326799	0	0.0289446422476306	0.034	0.16426209761889	1.04033797908085
TCGA-85-8481-01A-11R-2326-07	0.166854594851883	0	0.0934983759066961	0.0716066521984271	0	0.155827127507115	0.00835004747771572	0.0036693904850333	0.0181827117583266	0	0.049090994474838	0	0	0.184012258018084	0.064742739534156	0.0915758089624291	0	0.00410201064005742	0	0.0711915914413009	0	0.0172956967439371	0.00800000000000001	0.327572830526356	0.951009391175809
TCGA-77-A5GF-01A-21R-A27Q-07	0.136302577154553	0	0.138310982765803	0.151831365300121	0	0.0184750143962838	0.0253183844063992	0.0780857857080424	0.0279579666431066	0	0	0.021073947678995	0.00521353450152157	0.0698976300476551	0.120700713172889	0.0988507337588893	0.0377478043371261	0.00252085763975092	0.0620923138874848	0	0	0.00562038860137889	0.004	0.35715063673324	0.938018878762151
TCGA-22-1011-01A-01R-0692-07	0.0590443489255317	0.0109920873146576	0.352969128992923	0.0800223070855511	0	0.107563113299126	0.0432355280420201	0.0225218835148305	0.0583617353790154	0	0.0205814126006991	0	0	0.10186162520319	0.0528228598459556	0.047686835545831	0	0.0310672196646108	0.0112699145860583	0	0	0	0.001	0.457164730050328	0.901748254633644
TCGA-68-8251-01A-11R-2296-07	0.112474251595001	0	0.0281917271350855	0.0609038040581688	0	0.343747819381566	0	0	0.0147795273433108	0	0.0243626785874693	0.00280044614720124	0	0.192076041147212	0.0737825778696574	0.0954105166178366	0	0	0.0239096602455399	0.017166876498152	0	0.0103940733737995	0.039	0.146113725889614	1.03180722754581
TCGA-60-2697-01A-11R-2125-07	0.142375484749415	0.0392049490136026	0.0954750027728601	0.146918492598081	0	0.183685031024298	0.0513693626819869	0.0187908983627009	0.0490006218748574	0	0	0.0103027722566817	0.00345067828083984	0.0527306746628089	0.0526554250389776	0.0523433155209984	0.0133113534276282	0.0133600140448633	0.0641976279973312	0	0	0.0108282956920693	0.003	0.372950638123213	0.930558535249704
TCGA-85-8288-01A-11R-2296-07	0.000764381811227636	0.00113174504330036	0.0132501533416562	0.154239383442609	0	0.165062075714247	0.0401087919670186	0.119818609449996	0.0400702204821071	0	0.0126880321116504	0.0258674275033665	0.00798883145513966	0.0759759586746617	0.180352089678289	0.0264612525013178	0.102743870800814	0.00170961026810021	0.0317675657544983	0	0	0	0.265	0.0281167255830203	1.10000073629092
TCGA-46-3765-01A-01R-0980-07	0.131520867498348	0	0.195438348836794	0.0630662648098074	0	0.214568416934139	0.029342879916899	0.0347448857854707	0	0	0.0113102347759762	0.0006566926509504	0.010966714431193	0.0559448827194038	0.0721794456453387	0.114256765395291	0.022714980685163	0.0027859568308772	0.0281524747914669	0	0	0.0123501882928825	0.001	0.400631886868728	0.918901327827915
TCGA-96-7544-01A-11R-2045-07	0.0927260523645152	0	0.0781962058487665	0.0491362051849235	0	0.220910768206544	0.0387416762837686	0	0.00216300139856473	0	0.025357357331876	0	0.0322990676558255	0.120621557378915	0.112219973471545	0.112262777381636	0.0756004841078655	0	0.0307652404365345	0	0.000535741748027885	0.00846389120069204	0.02	0.228980329736873	0.988276863715126
TCGA-39-5035-01A-01R-1443-07	0.0573545460546929	0	0.1381371201497	0.280470368675729	0	0	0.105074114571686	0.0900275944627691	0.0102894063521519	0	0.0491200539440214	0	0.00344323581988476	0.0474448008677496	0.0912678604010633	0.0754857778486562	0.03508836034113	0	0.0167967605107658	0	0	0	0.012	0.281400828751618	0.975974470756429
TCGA-96-8170-01A-11R-2296-07	0.137829460466337	0	0.106959821242523	0.0493581906540263	0	0.197724311484797	0	0.0377086218469936	0.0250093191361741	0	0.0500283430876859	0	0.0238754027174233	0.096235189526519	0.00810284718276034	0.135833105788037	0.0248739132186259	0.0275349478240456	0.0304255459657831	0	0	0.0485009798582686	0.00700000000000001	0.330106723286226	0.947355793387514
TCGA-56-8504-01A-11R-2403-07	0.0836062620832784	0	0.0134635738657239	0.125778478396203	0	0.0702684829402689	0.0133356485794924	0.0416950332074543	0.067229555165039	0	0.0394918780362424	0.00764674187553745	0.00162625857005455	0.200557257604764	0.102681313151561	0.172561743863742	0.00103050271866834	0.00920451890261132	0.0477076893384798	0	0	0.00211506170087943	0.049	0.134158203779603	1.03310710815004
TCGA-56-7823-01B-11R-2247-07	0.013727309556342	0	0.00481273958241873	0.0897309922727834	0	0.117651382223856	0.0377369839502817	0.0440891627406142	0.000855175929450789	0	0.0307674200893491	0.0387185425636964	0.00960118494569222	0.215032926619034	0.148577598706769	0.150797457133395	0.0470934149225527	0	0.048070944299284	0	0	0.00273676446448063	0.043	0.14337142326135	1.03652091376031
TCGA-58-A46N-01A-11R-A24H-07	0.115349511647565	0	0.0227937395012954	0.259761936752814	0	0.130673471728246	0.00871588295233792	0.0699519153482767	0.0097216305870651	0	0	0	0.0311983951750384	0.0796753401670898	0.0211643564307561	0.0471052961176861	0.0591183025852422	0.0408948846076859	0	0.0958140655296474	0.00106581763481468	0.00699545323443859	0.027	0.192816931263972	1.01059230607229
TCGA-22-0944-01A-01R-0692-07	0.148465025840738	0	0.187342320651346	0.0296271288407444	0	0.0626241447747292	0.0147868617374758	0.0470050521954005	0.0197698679555687	0	0.0110978084712459	0.00355078835478523	0	0.269882691263642	0.0502932328701486	0.0794044483888792	0	0.00209777492628482	0	0.0721384144637725	0	0.00191443926523873	0.002	0.384687950946451	0.93080663443656
TCGA-33-AASL-01A-11R-A405-07	0.0561738285853939	0	0.046567944646691	0.101006896689347	0	0.293207150956554	0.014695874789193	0.0518919731498706	0.00199336301146106	0.0362251744495658	0	0.0319851470458024	0.0160615291569261	0.0782292121100506	0.0618359945783439	0.0743262882271589	0	0.126331410173328	0.00946821243031365	0	0	0	0.038	0.147824478220978	1.03554718021008
TCGA-85-8352-01A-31R-2326-07	0.0436539245354825	0	0.0139960435698248	0.257519733673394	0	0.0261826934416529	0.0126559465259559	0.148629377906132	0	0	0	0.0306192131311666	0.00570264293154501	0.20245072153175	0.0559657371846841	0.0576994623748274	0	0.0940522285133739	0.0508722746802107	0	0	0	0.089	0.0994422886943747	1.05485881705321
TCGA-21-1076-01A-02R-0692-07	0.0552509165859381	0	0.0261777882026361	0.00781693648994023	0	0.0628698630977875	0.0294808900675436	0.0569252199825146	0.051138755603803	0.0040850587893723	0.046554824125639	0	0	0.462225002522534	0.0568090799389508	0.12168589243284	0	0	0.0145852689267289	0	0	0.0043945032337715	0.072	0.112949312201637	1.07444917282479
TCGA-60-2719-01A-01R-0851-07	0.0806491455175538	0	0.0575580627766648	0.114393319879349	0	0.149270777696592	0.0280482650279877	0.0450220546116976	0.0169280929543907	0	0.0377111354364577	0	0.0192079767911693	0.174232779243161	0.0665030636015851	0.147398623397244	0.0351077231211766	0	0.0147173747431271	0	0	0.0132516052018443	0.027	0.191000667942979	1.0055434160753
TCGA-33-4532-01A-01R-1201-07	0.0302993310276531	0	0.0126477621821448	0.130687673228121	0	0.124300822054491	0.0381126440284379	0.0778984012064628	0.0015683073019029	0	0.0200045234895901	0.01292252881252	0.00992652616042692	0.0933791632611271	0.0481479900619826	0.163574883043313	0.1455223110979	0.0197433127484315	0.0502645139845524	0.0112834987258463	0	0.00971580758509622	0.098	0.0888902544072225	1.04022196773788
TCGA-63-A5MI-01A-12R-A27Q-07	0.207426488811609	0	0.231176984436899	0.0670474411861087	0	0.0989345831144177	0.0242049835412414	0.0115138466065875	0.02201689431474	0	0.00879730412962195	0	0	0.13743680615507	0.0123735461667849	0.0622584770300744	0	0.00704847927533728	0.0665620498372124	0	0	0.0432021153942955	0	0.46610970769695	0.887344283789253
TCGA-66-2744-01A-01R-0980-07	0.0569044209665868	0	0.00289335850203191	0.128582034779952	0	0.163105979606577	0.0789962294166266	0.0511853698271469	0	0	0.0331100967553485	0	0	0.178509713661241	0.0883893587577891	0.158957674054753	0.00686946864458322	0	0.0362459934284838	0	0	0.0162503015988796	0.108	0.0823691797034521	1.05234046911852
TCGA-63-A5MT-01A-21R-A26W-07	0.164361214530115	0	0.0296563423050356	0.0272787996907808	0	0.167178643902106	0	0.0551186351882917	0.0111413357282863	0	0.012778565348594	0	0	0.273051262892082	0.135879225490944	0.105467372033956	0	0	0	0	0	0.0180886028898094	0.013	0.266087522073489	0.985033950170689
TCGA-77-8136-01A-11R-2247-07	0.0690928625289638	0	0.0190146506600308	0.13157340063502	0	0.211859243733861	0.0377745267618673	0.0395188410102538	0.019554033286072	0	0.0798507249313792	0	0	0.120476760853699	0.107818410550315	0.105080065682524	0.00141802969366993	0.0297048188314532	0.0177832681593515	0	0	0.00948036268153962	0.0580000000000001	0.12478390651529	1.04223540273031
TCGA-NK-A5CR-01A-11R-A26W-07	0.179668391221952	0	0.247468496384916	0.019981295511848	0	0.0558491333132786	0.0536651072700919	0.0539135133606237	0.0129925541603529	0	0.00182756274186106	0.00387644426312592	0	0.126412231904743	0.0169173658060605	0.131907570329462	0.0582829310724162	0.0112136572804375	0	0.0205832768687943	0	0.00544046851003649	0.001	0.458439088425079	0.89216874998813
TCGA-NC-A5HM-01A-12R-A26W-07	0.17269680803987	0	0.0698135276671687	0.0512586952265808	0	0.101747340173094	0.00582566860272535	0.0683117668108808	0.00711345249652515	0	0	0.0712402593605637	0	0.202015483267211	0.129945848541585	0.0479729170202903	0	0.00114045555834767	0	0.0546902065387574	0	0.0162275706964006	0.011	0.293661647580428	0.970820864697238
TCGA-68-7757-01B-11R-2296-07	0.135198337369273	0	0.103038765345714	0.0391666035680373	0	0.142948711200076	0	0.0137368597878086	0.0272060579969881	0	0.0666216579995126	0	0	0.223698136342788	0.00348197216753891	0.111886745453689	0.00106168974603626	0.0253034328260018	0	0.0814661161834674	0	0.0251849140130679	0.00900000000000001	0.304579212347815	0.96172466458241
TCGA-33-A5GW-01A-11R-A27Q-07	0.0287426093874484	0	0.0180559220430478	0	0	0	0	0.035637106378442	0.0677075012829748	0	0.0787009097198336	0	0.0916615223988111	0	0	0.156821393497295	0.246703728622875	0.195795892011974	0	0.0726879860077103	0.00382855700773225	0.00365687164185588	0.049	0.133195050787187	1.03128650202632
TCGA-NC-A5HE-01A-11R-A26W-07	0.0298753684230778	0	0.045794055331009	0.285913186664808	0	0	0.183736910969184	0.0304243530652603	0.0291359134864565	0	0.00492225522070191	0	0.0106771858114251	0.0961080999547855	0.122040746688033	0.0770354713578443	0.0547098993413632	0	0.0296265536860517	0	0	0	0.031	0.178899215886643	1.01437039791656
TCGA-98-A53H-01A-12R-A262-07	0.199324878169435	0	0.0536126155585683	0.0878151695838915	0	0.131155920774266	0.0359745912595322	0.0292685270432951	0.0706426979493123	0	0	0.0141615705772681	0.0162819031004201	0.110123432332943	0.0509291248490611	0.101829941292719	0.00993658908710152	0.0029405421961775	0.0791679001280515	0	0	0.0068345960979573	0.00800000000000001	0.325831888230397	0.94924987471207
TCGA-43-A56V-01A-11R-A26W-07	0.0318508955394213	0.0556668753387964	0.0244824198784211	0.11010262858816	0	0.200064920154186	0	0.0863013800463947	0.0343975791822925	0	0	0	0.0236838692583023	0.203741064308954	0.0583297502150143	0.0297571457781205	0.0332447973122018	0	0	0.0462956685473136	0.0191902431517747	0.0428907627006468	0.047	0.138872411152516	1.03221210289542
TCGA-63-5131-01A-01R-1443-07	0.0782976640230711	0	0.0203065694873363	0.114464511740689	0	0.152299277234596	0.000302557876739575	0.0899181453767622	0.000758125820736694	0	0	0.0462912187807992	0.00490765381000285	0.0236151454867359	0.0200623340648985	0.0934609806625862	0	0.182644312800308	0.0312184361603488	0	0	0.14145306667439	0.049	0.133434912244732	1.03502574768722
TCGA-66-2795-01A-02R-0980-07	0.0666081909384465	0	0.0681930606584699	0.0864576982713116	0	0.112642335595621	0.0424866883635737	0.0274089339015119	0.00954760671992199	0	0.0102103350993423	0	0	0.0682458103565521	0.129663725220541	0.222964292135481	0.0796998971099349	0	0.0384598373872164	0	0.0210364652346567	0.0163751230074195	0.026	0.19602295787181	1.00172145603278
TCGA-21-1075-01A-01R-0692-07	0.088626047381361	0	0.0519952039099306	0.0523082365084983	0	0.169421633656931	0	0.0495281836411118	0	0	0.0493205110523562	0	0.0164193910990657	0.0651024030006497	0.0407787973380668	0.145817638818983	0.0907868269106185	0.0980155049889252	0	0.0636635532204574	0	0.0182160684730447	0.027	0.188298059155446	1.00151831333008
TCGA-39-5030-01A-01R-1443-07	0.0770481881944017	0	0.106841447732438	0.0496680382122854	0	0.204326584214616	0.0450170887931471	0.05720028845981	0.0495282953963571	0	0.0161655456825926	0.00219091524506733	0	0.204395849438874	0.0873502498101061	0.0582080404669887	0.0203507509480762	0	0.0217087174052398	0	0	0	0.011	0.28958836863651	0.967729325151783
TCGA-85-8287-01A-11R-2296-07	0.0231764091250968	0.0208687441294818	0.0829318522174439	0.201267696194378	0	0.130150383551664	0.0730357977923207	0.0397764219089782	0.0406081983122351	0	0.0247245428265663	0	0	0.139743949995489	0.0999981398419571	0.0772182863359726	0	0.0171847542025288	0.0293148235658874	0	0	0	0.027	0.189647396329983	1.01285821296646
TCGA-66-2787-01A-01R-0980-07	0.0596829684850234	0	0.0705340102213892	0.228136768807175	0	0.065579575202473	0.101490847162392	0.0395516416647227	0	0	0.0256817569768253	0	0.00519185668376065	0.0477151495188361	0.0982244694747871	0.182603285276289	0.029836308970953	0	0.0318549347996763	0	0.00843132499149616	0.00548510176420091	0.024	0.205630319701839	0.999209836391606
TCGA-18-3410-01A-01R-0980-07	0.0590848790361877	0	0.0697513743772648	0.127726149620578	0	0.184202660911135	0.0265167713747072	0.0436361487953018	0.0230263478404155	0	0	0.0425677917825269	0.0145523747030295	0.14684280253276	0.123664084887774	0.0333806532687662	0.0338486403267507	0	0.0646330054071245	0	0	0.00656631513567868	0.031	0.180102402411244	1.01450458420698
TCGA-85-A512-01A-11R-A26W-07	0.0877547342790265	0	0.0203884985298239	0.0337705094417651	0	0.128008368311425	0	0.0770975610986307	0.00871398751146186	0	0	0.0267308662679739	0	0.338466129107722	0.112547585211473	0.0919046982724129	0.0281511451222053	0.00787108849204514	0	0.0351492202112717	0.00344560814276284	0	0.035	0.158257936452616	1.03695767006956
TCGA-39-5036-01A-01R-1443-07	0.106684394382638	0	0.118942163171618	0.172539637427754	0	0.0190530807963177	0.0256097972434028	0.0871149693208904	0.0300706565409004	0	0	0.0425352846576935	0.00148081094110262	0.147114492914894	0.0623364980314611	0.11507806125675	0.0363771794983518	0.000462141515755588	0.0281518570258305	0	0.00586278220082423	0.000586193073815678	0.00900000000000001	0.312461291419632	0.956841185462335
TCGA-77-7465-01A-11R-2045-07	0.0709938682992169	0	0.0369529618929961	0.186757202092022	0	0.111049260903198	0.114234122982314	0.0472779800816023	0.0660996784937966	0	0.0066850224821178	0	0.00360375529724387	0.143509542574028	0.119933307432762	0.0365362156406181	0.0429058991528458	0.000248343791998455	0.0107725444067562	0	0	0.00244029447648299	0.038	0.14921904223059	1.03088236516846
TCGA-34-5240-01A-01R-1443-07	0.0257759925626265	0	0.024542171416686	0.106020874120988	0	0.0355717708208757	0.0475660626066542	0.0612178760154658	0.0143146743951517	0	0.0141527141860939	0	0	0.177441844446346	0.0634060881706286	0.30196369292357	0.0257665800223514	0.0186989761012478	0.0399980932758792	0	0.0227751881765614	0.0207874007588741	0.119	0.0714352800997457	1.05754391419795
TCGA-43-A475-01A-11R-A24H-07	0.0218736395519263	0	0.00621210845075305	0.303501643747169	0	0.0216420640032543	0.146475872279726	0.051699244676579	0.0201512508897925	0	0.0273000977411594	0	0	0.0790733506498337	0.105383650630029	0.146889095308431	0.0417810637961315	0	0.0254818505660097	0	0	0.00253506770920531	0.121	0.0708827198353513	1.06428595879375
TCGA-NC-A5HJ-01A-11R-A26W-07	0.104560699613085	0	0.0180949095478913	0.215083186583102	0	0.0665948786187317	0.0508116699462982	0.0557556639822088	0.0291067192218614	0	0	0.0262195941112505	0.00907954238128856	0.0802574582611655	0.0845664305361242	0.150160319909796	0.0540176379488394	0	0.0474558286080967	0	0	0.00823546073026032	0.022	0.211654260596499	0.996501904630577
